epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,11234.1,0.45673,0.65207,0.48406,0.85751,0.85485,0.8621,0.9074,0.85657,0.85486,0.86253,0.9056,0.83323,0.39837,0.67602,0.55778,0.84638,0.000495266,0.000495266,0.000495266
73,11387.2,0.44702,0.64243,0.47438,0.8567,0.86368,0.82963,0.88747,0.83776,0.86342,0.83016,0.8853,0.81909,0.39197,0.70471,0.59768,0.84468,0.000478762,0.000478762,0.000478762
74,11538.9,0.44135,0.62576,0.47719,0.85591,0.82663,0.87091,0.8919,0.84314,0.82789,0.86924,0.88985,0.81574,0.38995,0.72272,0.59981,0.84555,0.000462259,0.000462259,0.000462259
75,11693,0.44719,0.63594,0.47463,0.85693,0.82827,0.87026,0.90392,0.85436,0.828,0.86929,0.90128,0.83136,0.389,0.7315,0.59134,0.84373,0.000445756,0.000445756,0.000445756
76,11843.8,0.43573,0.63443,0.47107,0.85403,0.87091,0.83372,0.90673,0.85409,0.87076,0.83277,0.9046,0.83003,0.39254,0.69218,0.57048,0.84678,0.000429253,0.000429253,0.000429253
77,12000.2,0.44945,0.66297,0.46264,0.85528,0.83787,0.8559,0.90007,0.85216,0.83817,0.85498,0.89797,0.82322,0.3828,0.69386,0.58099,0.84218,0.000412749,0.000412749,0.000412749
78,12154.3,0.44651,0.63671,0.47134,0.85493,0.85986,0.8458,0.90639,0.85639,0.86017,0.84254,0.90503,0.83084,0.38664,0.66834,0.56411,0.84317,0.000396246,0.000396246,0.000396246
79,12307,0.43428,0.60129,0.45335,0.8551,0.86177,0.8404,0.89881,0.84967,0.86144,0.84007,0.897,0.82542,0.38604,0.70405,0.57365,0.84543,0.000379743,0.000379743,0.000379743
80,12458.5,0.44169,0.63653,0.46675,0.85388,0.85037,0.86258,0.89745,0.84797,0.8507,0.86291,0.89572,0.82033,0.39233,0.68988,0.58059,0.84806,0.000363239,0.000363239,0.000363239
81,12615.3,0.46735,0.68565,0.47241,0.85954,0.84232,0.86678,0.89748,0.84807,0.8427,0.86704,0.89651,0.82551,0.38396,0.67663,0.56955,0.84321,0.000346736,0.000346736,0.000346736
82,12770.8,0.45228,0.65124,0.47604,0.85793,0.8521,0.86312,0.89502,0.8468,0.85242,0.86242,0.89324,0.81523,0.39147,0.68491,0.5691,0.84291,0.000330233,0.000330233,0.000330233
83,12924.6,0.44749,0.64242,0.46154,0.8547,0.85735,0.85848,0.90172,0.85405,0.8573,0.8577,0.90016,0.82869,0.38435,0.66837,0.55438,0.84246,0.000313729,0.000313729,0.000313729
84,13075.8,0.43667,0.61145,0.46534,0.8537,0.8423,0.86678,0.90733,0.85649,0.84089,0.8653,0.90504,0.82392,0.38842,0.68917,0.55888,0.84284,0.000297226,0.000297226,0.000297226
85,13232.3,0.44654,0.64004,0.45641,0.85191,0.84614,0.86304,0.90983,0.86243,0.84709,0.85999,0.90747,0.83643,0.37457,0.67581,0.56134,0.83977,0.000280723,0.000280723,0.000280723
86,13386.2,0.43682,0.62643,0.44856,0.85126,0.84585,0.86435,0.90331,0.85623,0.84518,0.8637,0.90132,0.82671,0.38429,0.67828,0.57352,0.84458,0.00026422,0.00026422,0.00026422
87,13539.8,0.42836,0.59108,0.44213,0.8523,0.83982,0.87199,0.90423,0.85606,0.84014,0.87231,0.90255,0.83101,0.37802,0.66313,0.56607,0.84171,0.000247716,0.000247716,0.000247716
88,13694.6,0.44122,0.63195,0.45177,0.85277,0.84681,0.85748,0.90446,0.85455,0.84714,0.8578,0.90225,0.82926,0.38253,0.67974,0.5613,0.84047,0.000231213,0.000231213,0.000231213
89,13846.7,0.43331,0.59391,0.44095,0.85318,0.87089,0.83759,0.90352,0.85623,0.87225,0.83817,0.9014,0.83216,0.37844,0.69479,0.55799,0.84148,0.00021471,0.00021471,0.00021471
90,14001,0.43094,0.61336,0.43917,0.85175,0.85369,0.86827,0.90246,0.85514,0.85463,0.86664,0.90058,0.82536,0.38064,0.66592,0.55372,0.84042,0.000198206,0.000198206,0.000198206
91,14130.4,0.43097,0.61371,0.46351,0.84149,0.83332,0.8718,0.89381,0.84496,0.83869,0.86736,0.89085,0.81335,0.39287,0.6898,0.57641,0.84301,0.000181703,0.000181703,0.000181703
92,14257.5,0.40926,0.56787,0.43767,0.83221,0.81259,0.87698,0.88419,0.83428,0.81449,0.87503,0.88136,0.81085,0.38613,0.68835,0.62566,0.84609,0.0001652,0.0001652,0.0001652
93,14385.2,0.38984,0.53965,0.41148,0.83237,0.80965,0.88233,0.8917,0.84026,0.81058,0.88298,0.88943,0.81581,0.38597,0.65691,0.62194,0.84903,0.000148696,0.000148696,0.000148696
94,14512.5,0.40024,0.56283,0.40728,0.82767,0.82467,0.87635,0.89319,0.84398,0.82533,0.87635,0.89076,0.81974,0.38282,0.65204,0.60712,0.84582,0.000132193,0.000132193,0.000132193
95,14639.8,0.39601,0.54057,0.40571,0.82974,0.82446,0.87447,0.88912,0.84049,0.82489,0.87462,0.88692,0.81346,0.38369,0.68813,0.6113,0.84448,0.00011569,0.00011569,0.00011569
96,14767.1,0.39645,0.52999,0.40765,0.82994,0.83368,0.87227,0.89452,0.84434,0.83364,0.87237,0.89209,0.81533,0.38287,0.64484,0.5888,0.84458,9.91865e-05,9.91865e-05,9.91865e-05
97,14894.9,0.38007,0.51334,0.38951,0.82813,0.84682,0.8644,0.89725,0.84819,0.84272,0.86887,0.89487,0.82206,0.37803,0.63469,0.57581,0.84254,8.26832e-05,8.26832e-05,8.26832e-05
98,15023.1,0.39283,0.54487,0.40477,0.8291,0.85379,0.85913,0.89612,0.84829,0.84514,0.86858,0.89396,0.82064,0.38016,0.65492,0.56817,0.84347,6.61799e-05,6.61799e-05,6.61799e-05
99,15150.6,0.38006,0.52826,0.3847,0.82559,0.85664,0.85998,0.89721,0.8495,0.8564,0.85974,0.8952,0.82116,0.38069,0.66262,0.56872,0.84396,4.96766e-05,4.96766e-05,4.96766e-05
100,15277.9,0.3831,0.53452,0.38389,0.82723,0.86133,0.85185,0.89839,0.85061,0.86099,0.85153,0.89594,0.82185,0.38033,0.64807,0.5672,0.84469,3.31733e-05,3.31733e-05,3.31733e-05
